name|position|times_top_10|times_top_20|times_top_30|points_scored|draft_auction_value
49ers D/ST|DEF|7|10|11|107.0|0
Titans D/ST|DEF|3|8|11|70.0|0
Jets D/ST|DEF|2|7|11|50.0|0
Vikings D/ST|DEF|3|10|11|69.0|1
Ravens D/ST|DEF|6|8|9|50.0|0
Buccaneers D/ST|DEF|3|8|11|39.0|0
Packers D/ST|DEF|3|6|11|41.0|0
Bills D/ST|DEF|4|7|9|66.0|1
Bears D/ST|DEF|3|6|11|63.0|0
Rams D/ST|DEF|4|8|11|60.0|0
Seahawks D/ST|DEF|3|8|11|39.0|0
Bengals D/ST|DEF|0|2|8|-5.0|0
Patriots D/ST|DEF|7|11|11|168.0|1
Lions D/ST|DEF|2|5|9|25.0|0
Panthers D/ST|DEF|7|9|11|74.0|0
Saints D/ST|DEF|4|9|11|67.0|0
Raiders D/ST|DEF|2|6|10|33.0|0
Colts D/ST|DEF|2|7|11|48.0|0
Cardinals D/ST|DEF|1|5|8|9.0|0
Chiefs D/ST|DEF|2|6|10|48.0|0
Falcons D/ST|DEF|1|1|6|-2.0|0
Chargers D/ST|DEF|6|9|11|62.0|0
Cowboys D/ST|DEF|4|4|11|66.0|0
Browns D/ST|DEF|1|5|11|39.0|0
Eagles D/ST|DEF|3|7|11|65.0|0
Broncos D/ST|DEF|2|4|11|44.0|0
Redskins D/ST|DEF|3|8|10|37.0|0
Texans D/ST|DEF|5|9|11|53.0|0
Steelers D/ST|DEF|6|8|11|87.0|0
Jaguars D/ST|DEF|7|8|11|61.0|0
Giants D/ST|DEF|3|6|10|45.0|0
Dolphins D/ST|DEF|1|5|10|0.0|0
Harrison Butker|K|5|7|9|89.0|2
Stephen Gostkowski|K|3|5|7|32.0|0
Greg Zuerlein|K|6|9|10|77.0|4
Wil Lutz|K|3|7|8|72.0|0
Zane Gonzalez|K|7|7|9|83.0|0
Cairo Santos|K|1|3|3|23.0|0
Robbie Gould|K|4|8|10|60.0|0
Matt Prater|K|3|9|9|76.0|0
Justin Tucker|K|5|7|10|82.0|1
Dustin Hopkins|K|2|3|10|42.0|0
Joey Slye|K|3|5|8|72.0|0
Brandon McManus|K|1|7|10|61.0|0
Josh Lambo|K|4|8|9|83.0|0
Randy Bullock|K|1|6|10|46.0|0
Ty Long|K|2|3|4|34.0|0
Stephen Hauschka|K|1|7|9|43.0|0
Jake Elliott|K|2|6|9|58.0|0
Daniel Carlson|K|1|7|8|53.0|0
Jason Sanders|K|0|1|7|27.0|0
Brett Maher|K|3|6|10|68.0|0
Aldrick Rosas|K|1|2|9|40.0|0
Matt Gay|K|5|7|8|77.0|0
Mason Crosby|K|4|9|11|66.0|1
Dan Bailey|K|4|8|10|69.0|0
Ka'imi Fairbairn|K|4|6|9|66.0|1
Adam Vinatieri|K|5|6|11|52.0|0
Chris Boswell|K|6|7|8|75.0|0
Jason Myers|K|2|6|9|59.0|0
Eddy Pineiro|K|1|4|8|53.0|0
Austin Seibert|K|3|5|8|58.0|0
Phil Dawson|K|2|2|8|0.0|0
Sebastian Janikowski|K|2|2|6|0.0|0
Matt Bryant|K|3|8|10|43.0|0
Mike Nugent|K|3|5|6|27.0|0
Nick Novak|K|2|2|3|0.0|0
Nick Folk|K|1|3|4|8.0|0
Connor Barth|K|0|2|2|0.0|0
Graham Gano|K|0|2|2|0.0|0
Ryan Succop|K|0|2|2|-1.0|0
Kai Forbath|K|0|2|2|0.0|0
Blair Walsh|K|0|1|2|0.0|0
Giorgio Tavecchio|K|0|0|2|0.0|0
Caleb Sturgis|K|0|0|2|0.0|0
Patrick Murray|K|0|0|2|0.0|0
Chandler Catanzaro|K|0|0|2|0.0|0
Cody Parkey|K|1|2|3|18.0|0
Travis Coons|K|0|0|1|0.0|0
Sam Ficken|K|1|2|5|24.0|0
Michael Badgley|K|2|2|2|21.0|0
Chase McLaughlin|K|1|2|4|25.0|0
Dak Prescott|QB|5|7|8|170.5|1
Lamar Jackson|QB|7|8|8|198.7|7
Deshaun Watson|QB|5|7|9|212.89999999999998|39
Matthew Stafford|QB|5|6|10|162.6|1
Patrick Mahomes|QB|3|6|7|145.2|58
Case Keenum|QB|1|3|6|74.2|0
Tom Brady|QB|6|10|11|159.3|2
Carson Wentz|QB|4|8|9|148.39999999999998|18
Philip Rivers|QB|5|7|11|142.39999999999998|1
Marcus Mariota|QB|2|4|5|81.89999999999999|0
Kyler Murray|QB|3|7|9|161.3|0
Drew Brees|QB|3|4|6|43.0|16
Andy Dalton|QB|2|7|9|124.6|0
Matt Ryan|QB|4|8|8|138.39999999999998|25
Gardner Minshew II|QB|3|7|9|143.5|0
Jacoby Brissett|QB|2|6|8|124.0|0
Russell Wilson|QB|5|9|9|220.29999999999998|12
Josh Allen|QB|2|7|8|135.70000000000002|1
Eli Manning|QB|2|3|4|24.799999999999997|0
Derek Carr|QB|2|6|9|128.1|0
Joe Flacco|QB|1|4|9|81.00000000000001|0
Kirk Cousins|QB|4|4|9|148.4|1
Sam Darnold|QB|1|1|4|49.0|0
Aaron Rodgers|QB|4|7|11|174.20000000000002|28
Ryan Fitzpatrick|QB|2|4|7|72.10000000000001|0
Jimmy Garoppolo|QB|2|5|8|114.20000000000002|0
Ben Roethlisberger|QB|2|2|3|12.7|0
Jared Goff|QB|4|5|8|125.60000000000001|1
Baker Mayfield|QB|1|4|7|91.5|28
Taysom Hill|QB|0|1|5|39.8|0
Mitchell Trubisky|QB|0|2|4|65.6|0
Jameis Winston|QB|4|6|7|141.9|0
Cam Newton|QB|0|0|3|15.8|0
Josh McCown|QB|2|2|2|-0.2|0
Carson Palmer|QB|2|2|2|0|0
Matt Schaub|QB|3|3|4|25.9|0
Alex Smith|QB|2|2|2|0.0|0
Derek Anderson|QB|0|2|2|0.0|0
Matt Cassel|QB|0|2|2|0.0|0
Jay Cutler|QB|0|2|2|0|0
Kellen Clemens|QB|0|2|2|0.0|0
Drew Stanton|QB|0|2|2|0.0|0
Chad Henne|QB|0|1|2|0.0|0
Josh Johnson|QB|0|0|2|0.0|0
Chase Daniel|QB|0|2|4|24.6|0
Brian Hoyer|QB|0|1|3|14.6|0
Mark Sanchez|QB|0|0|2|0.0|0
Sam Bradford|QB|0|0|2|0.0|0
Colt McCoy|QB|0|0|3|3.4|0
Blaine Gabbert|QB|0|0|2|0.0|0
Mike Glennon|QB|0|0|1|5.0|0
Matt Barkley|QB|0|0|1|3.0|0
Teddy Bridgewater|QB|1|4|6|87.7|0
Brandon Allen|QB|0|1|1|16.3|0
Luke Falk|QB|0|0|1|6.0|0
Kyle Allen|QB|1|4|5|70.19999999999999|0
Mason Rudolph|QB|0|2|6|75.4|0
Devlin Hodges|QB|0|0|2|11.8|0
Dwayne Haskins|QB|0|0|1|5.7|0
Matt Moore|QB|0|4|5|41.1|0
Ryan Tannehill|QB|1|3|4|63.599999999999994|0
Daniel Jones|QB|2|4|7|107.8|0
Josh Rosen|QB|0|0|2|16.3|0
Evan Engram|TE|4|7|7|87.39999999999999|9
T.J. Hockenson|TE|1|3|6|52.60000000000001|0
Mark Andrews|TE|4|6|8|82.0|0
Delanie Walker|TE|4|6|6|43.99999999999999|0
Vernon Davis|TE|3|4|5|23.3|0
Austin Hooper|TE|7|8|8|117.1|1
David Njoku|TE|1|1|1|11.7|0
Blake Jarwin|TE|2|4|4|40.2|0
Jimmy Graham|TE|3|6|8|55.60000000000001|0
Darren Waller|TE|5|9|9|103.0|0
Travis Kelce|TE|5|9|9|103.10000000000001|41
Tyler Higbee|TE|0|2|5|32.0|0
George Kittle|TE|4|8|8|90.89999999999998|32
Jason Witten|TE|4|8|10|59.099999999999994|0
C.J. Uzomah|TE|0|1|2|15.7|0
Hunter Henry|TE|4|6|6|76.30000000000001|0
Zach Ertz|TE|3|7|9|87.7|36
Greg Olsen|TE|4|6|7|58.6|1
Hayden Hurst|TE|0|3|4|29.599999999999998|0
Tyler Eifert|TE|2|3|3|36.7|0
James O'Shaughnessy|TE|0|4|5|34.300000000000004|0
Vance McDonald|TE|2|2|5|46.6|0
Jared Cook|TE|2|4|6|36.3|0
Tommy Sweeney|TE|0|0|1|5.3|0
Nick Boyle|TE|1|2|4|31.7|0
Mike Gesicki|TE|1|3|4|35.3|0
Geoff Swaim|TE|0|0|1|13.0|0
Noah Fant|TE|1|4|6|51.0|0
Robert Tonyan|TE|0|0|2|8.600000000000001|0
O.J. Howard|TE|0|1|4|22.1|0
Foster Moreau|TE|1|4|4|38.4|0
Nick Vannett|TE|0|0|1|12.600000000000001|0
Dallas Goedert|TE|1|4|5|48.6|0
Ryan Griffin|TE|2|3|3|45.7|0
Jack Doyle|TE|0|4|7|47.2|0
Marcedes Lewis|TE|2|3|4|18.0|0
Jonnu Smith|TE|1|3|5|41.7|0
Jordan Akins|TE|1|2|5|46.800000000000004|0
Maxx Williams|TE|1|1|1|23.399999999999995|0
Jesse James|TE|0|0|1|10.4|0
Cameron Brate|TE|2|3|3|34.6|0
Will Dissly|TE|4|4|4|62.39999999999999|0
Rhett Ellison|TE|1|1|3|26.0|0
Eric Ebron|TE|3|5|5|51.800000000000004|0
Jeremy Sprinkle|TE|0|0|2|21.0|0
Gerald Everett|TE|3|3|5|54.699999999999996|0
Adam Shaheen|TE|0|1|2|11.9|0
Charles Clay|TE|1|1|4|22.400000000000002|0
Virgil Green|TE|0|0|2|8.2|0
Mo Alie-Cox|TE|0|0|1|7.4|0
Ryan Izzo|TE|1|1|3|20.4|0
Dawson Knox|TE|1|2|3|33.1|0
Josh Hill|TE|1|3|4|29.5|0
Antonio Gates|TE|2|2|2|0.0|0
Ben Watson|TE|2|2|5|11.2|0
Anthony Fasano|TE|2|2|2|0.0|0
Brent Celek|TE|1|2|2|0.0|0
Martellus Bennett|TE|1|2|2|0|0
John Phillips|TE|0|2|2|0.0|0
Zach Miller|TE|0|2|2|0.0|0
Jermaine Gresham|TE|0|2|2|0.0|0
Rob Gronkowski|TE|0|2|2|0.0|0
Ed Dickson|TE|0|2|2|0.0|0
Michael Hoomanawanui|TE|0|2|2|0.0|0
Jeff Cumberland|TE|0|1|2|0.0|0
Logan Paulsen|TE|0|1|2|0.0|0
Lance Kendricks|TE|0|0|3|6.5|0
Kyle Rudolph|TE|1|3|6|39.0|0
Luke Stocker|TE|0|0|3|6.3999999999999995|0
Niles Paul|TE|0|0|2|0.0|0
Julius Thomas|TE|0|0|2|0|0
Lee Smith|TE|0|1|3|11.1|0
Kyle Nelson|TE|0|0|1|0.0|0
Coby Fleener|TE|0|0|1|0|0
Derek Carrier|TE|0|1|3|13.899999999999999|0
Darren Fells|TE|4|5|6|72.5|0
Demetrius Harris|TE|1|2|3|22.400000000000002|0
Logan Thomas|TE|0|0|1|11.200000000000001|0
Trey Burton|TE|0|0|2|15.399999999999999|0
Seth DeValve|TE|0|1|1|9.8|0
Matt LaCosse|TE|0|1|2|7.0|0
Jeff Heuerman|TE|0|0|3|11.799999999999999|0
Tyler Kroft|TE|0|1|1|4.2|0
Ben Braunecker|TE|0|0|1|3.4|0
Anthony Firkser|TE|0|1|3|12.0|0
Ricky Seals-Jones|TE|2|2|2|31.999999999999996|0
Deon Yelder|TE|0|0|1|5.3|0
Ross Dwelley|TE|0|0|1|6.300000000000001|0
Jacob Hollister|TE|1|1|3|24.0|0
Drew Sample|TE|0|0|1|4.7|0
Irv Smith Jr.|TE|0|2|5|30.200000000000003|0
Dan Arnold|TE|0|0|1|3.5|0
Sammy Watkins|WR|1|1|2|80.8|2
DeSean Jackson|WR|2|3|3|32.4|0
John Ross III|WR|2|2|2|56.800000000000004|0
Marquise Brown|WR|1|1|3|67.39999999999999|0
DeAndre Hopkins|WR|2|5|6|125.10000000000002|53
T.Y. Hilton|WR|1|3|3|82.0|18
Phillip Dorsett II|WR|1|1|3|67.5|0
DJ Chark Jr.|WR|3|5|5|128.7|0
Keenan Allen|WR|3|3|4|123.59999999999998|35
John Brown|WR|2|2|4|93.7|0
Larry Fitzgerald|WR|2|3|6|81.50000000000001|1
Terry McLaurin|WR|1|4|4|95.70000000000002|0
Danny Amendola|WR|1|5|5|59.1|0
Alshon Jeffery|WR|1|2|3|76.5|7
Amari Cooper|WR|2|5|6|127.09999999999998|28
Tyrell Williams|WR|1|3|5|81.0|1
Michael Gallup|WR|0|2|3|71.9|0
Chris Conley|WR|1|2|3|71.60000000000001|0
Jamison Crowder|WR|1|3|3|68.4|0
